title,year,genre,plot,poster,rating,trailor
Master of the Drunken Fist: Beggar So,2016,Action,"Due to a conspiracy, the wealthy So Chan loses everything but is saved by the Beggars' Sect. He learns the long lost martial art - Drunken Fist, to defeat the person who framed him.",https://image.tmdb.org/t/p/w500//82TPqtDsJObgSRwZpmfzgpgGfEf.jpg,6.0,https://www.youtube.com/embed/lcR_3CBkfcY
Sanjay's Super Team,2015,"Animation, Family, Fantasy, Action","SANJAY'S SUPER TEAM follows the daydream of a young Indian boy, bored with his father's religious meditation, who imagines ""a kind of ancient, Hindu version of The Avengers,"" with the gods appearing like superheros.",https://image.tmdb.org/t/p/w500//mShcGzOctlq6zs33UdrCdAwZMGq.jpg,6.5,https://www.youtube.com/embed/222ztGhX4SE
The Challenger,2015,"Action, Drama",A legendary trainer comes out of retirement to help an underdog boxer fight his way to a better life.,https://image.tmdb.org/t/p/w500//2fXLdmdIWYX2k7Ulg9UTWHqMkfS.jpg,6.1,https://www.youtube.com/embed/XNKX3pVGovs
Doc West II,2009,"Western, Action, Thriller","A legendary poker playing outlaw, Triggerman, arrives to town for the wildest gambling tournament this side of the west. As the tournament begins he'll get caught up in a violent showdown as bandits try to cheat their way to the finals. With his hand on the trigger this outlaw won't let anything come between him and his winning hand.",https://image.tmdb.org/t/p/w500//kH7HeXi8GbZuNxeo7v5XFwoTvyG.jpg,6.2,https://www.youtube.com/embed/None
Aces High,1976,"Action, Drama, War",,https://image.tmdb.org/t/p/w500//a0KjutaTqDwqH8FaxiSuGA4tcg0.jpg,5.8,https://www.youtube.com/embed/fFC5EdYGUi8
Silent Venom,2009,"Action, Adventure, Horror, Thriller",An American submarine traveling through dangerous territorial waters is put in even more danger when two scientists bring venomous snakes on board.,https://image.tmdb.org/t/p/w500//hcWtTEynhNj1PmCoax5y8Qejoky.jpg,5.5,https://www.youtube.com/embed/None
The Brotherhood,1968,"Action, Crime, Drama, Thriller","The son of a powerful Mafia don comes home from his army service in Vietnam and wants to lead his own life, but family tradition, intrigues and powerplays involving his older brother dictate otherwise, and he finds himself being slowly drawn back into that world.",https://image.tmdb.org/t/p/w500//3w6hBkhRS4G2uMui2S8gaji02JV.jpg,5.4,https://www.youtube.com/embed/f1o7tluVEv0
The Crew,2000,"Action, Comedy",Four retired mobsters plan one last crime to save their retirement home.,https://image.tmdb.org/t/p/w500//fO55WSbVK0CAVvNIMZjFH4h2xOd.jpg,5.6,https://www.youtube.com/embed/RalfvRfCIp8
Pokémon Apokélypse,2010,"Crime, Action, Drama","Set in the near future, Pokemon battles have been outlawed and forced underground where they resemble dog fights. Crime Syndicate, Team Rocket threatens Misty and Professor Oak forcing Ash to throw a match. After doing so, Ash changes his mind and all out Pokewar between Ash and Team Rocket begins.",https://image.tmdb.org/t/p/w500//yHlcE5psxpyPK9lDmhzY1uc0uXD.jpg,5.6,https://www.youtube.com/embed/sDX1m0Y2Vkg
Aiyaary,2018,"Action, Thriller",An Indian Army officer is compelled to chase down his protege when the latter turns rogue and threatens to disrupt the country’s government and army.,https://image.tmdb.org/t/p/w500//1lfpxWPKRN9GOCdad5XhdxWuS3U.jpg,5.7,https://www.youtube.com/embed/KcWXKmnZZVo
Golgo 13: The Professional,1983,"Crime, Animation, Action",,https://image.tmdb.org/t/p/w500//nOTFmar2FyhDEDFNIMQL97K5Pcg.jpg,6.5,https://www.youtube.com/embed/None
My New Partner II,1990,"Action, Comedy","The partners are back and are in a tight spot! Francois is going through a moral crisis, and Rene is experiencing the same. But, honesty is not always the best policy. After being suspended for their actions, they return to face their far more crooked replacements.",https://image.tmdb.org/t/p/w500//exiz9yOOHEjdjo36x3Ic4YMSgc8.jpg,6.0,https://www.youtube.com/embed/None
Foolproof,2003,Action,,https://image.tmdb.org/t/p/w500//gudhSz8sDzRXxHY5XchllQKxw77.jpg,6.157,https://www.youtube.com/embed/o3qndVGGsM4
7 Mummies,2006,"Horror, Thriller, Action","Six escaped convicts and their female hostage make a desperate run for the Mexican border, where they stumble across a lost treasure of untold wealth, and find certain death instead on the Arizona desert.",https://image.tmdb.org/t/p/w500//rLDID7iNxhOZtf6AZEMWAQAbdoG.jpg,3.571,https://www.youtube.com/embed/7Z7Rmp4b2eU
The Big Shot,2019,"Action, Crime, Thriller",A car fixer jumps off stairs after illegal demolition. Police officer tries to find the crime and catch the evil boss.,https://image.tmdb.org/t/p/w500//dGHJUVtn9ij8M3RbC3YdhSQ1Wgs.jpg,6.0,https://www.youtube.com/embed/AsON4OHtLlY
Detention,2003,"Action, Thriller",A heroic high school teacher leads a band of students trapped in school by violent drug-runners.,https://image.tmdb.org/t/p/w500//9fY4UzLiASyk8MIftSBsgpVxNkI.jpg,4.6,https://www.youtube.com/embed/VaiIN7b0eGY
Reckless,2018,"Comedy, Action",A broke mechanic turns a bank loan denial into an impromptu robbery that puts him on the run with his best friend and a starlet they hold hostage.,https://image.tmdb.org/t/p/w500//oeqtgkxDiXwOhXcm6BqDk0T5z9u.jpg,5.8,https://www.youtube.com/embed/None
The Man From Snowy River II,1988,"Drama, Adventure, Western, Family, Action","After a few years trying to earn money to marry Jessica Harrison, Jim Craig returns to Snowy River. But he finds that a lot of things have changed.",https://image.tmdb.org/t/p/w500//jgmlCWfZRTAQXSJRwZz4l5PdSRD.jpg,6.8,https://www.youtube.com/embed/i9IHwlcKMBE
Metro Manila,2013,"Crime, Thriller, Drama, Action",,https://image.tmdb.org/t/p/w500//2OHaFLI0vIvW1z2kklNfpQZV2W7.jpg,7.279,https://www.youtube.com/embed/MYq5SHTQ8rc
Dead Shack,2017,"Action, Comedy, Horror, Thriller","On a weekend getaway at a rundown cabin in the woods, Jason, a cautious teen, his crude best friend Colin and his fearless older sister Summer are forced to work together, grow up and save their hard-partying parents from their predatory neighbor intent on feeding them all to her undead family.",https://image.tmdb.org/t/p/w500//rKqYBB6ysJW4DQqUwM1DaCIxDM5.jpg,5.7,https://www.youtube.com/embed/jnd4Ro7fV-g
Saving Mr. Wu,2015,"Thriller, Crime, Action, Drama","Mr. Wu, a Hong Kong movie star, is kidnapped in Beijing by Zhang Hua's gang. The police quickly form a task force and begin the search, ignoring that detectives in charge have only twenty hours before the deadline. (A story based on the famous kidnapping case of television actor Wu Rufou that took place in 2004.)",https://image.tmdb.org/t/p/w500//adUIp4YJWkd2F5vqscsEkQtyJa4.jpg,6.2,https://www.youtube.com/embed/Gql0lQf4UPo
Stealing Harvard,2002,"Action, Comedy, Drama, Crime",,https://image.tmdb.org/t/p/w500//fVehnhfOw5rBVikhWvHCVihPyG9.jpg,4.8,https://www.youtube.com/embed/mmJD7_ueDLc
Kantara,2022,"Mystery, Action, Thriller",,https://image.tmdb.org/t/p/w500//jIsKmkxMzdCZ0Ux1GVSnu8m6Na6.jpg,7.427,https://www.youtube.com/embed/None
Alienator,1990,"Action, Science Fiction, Thriller",A space commander sends a female android to Earth to destroy an escaped convict.,https://image.tmdb.org/t/p/w500//3kem76xYVBDp1P8j8et545lwoAH.jpg,3.474,https://www.youtube.com/embed/SeuigfKWKJA
